algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
linear,0,baseline,0.27086,1122926.38592,1059.68221,820.14977,0.26809,796550.98649,892.49705,657.71943,0
linear,1,epoch timestamp,0.27007,1124143.7883,1060.25647,830.22971,0.26832,796305.71345,892.35963,657.70434,-0.57426
linear,2,"epoch timestamp, scaled features",0.27007,1124143.7883,1060.25647,830.22971,0.26832,796305.71345,892.35963,657.70434,-0.57426
linear,3,normalize target,0.07812,1419769.07359,1191.54063,796.47255,0.09527,984633.4765,992.28699,635.69781,-131.85842
linear,4,new time features no encoding,0.42664,883018.6585,939.69072,697.45319,0.4234,627522.5213,792.16319,553.75862,119.99149
linear,5,new cyclic encoded time features,0.42193,890275.88983,943.54432,693.92679,0.41692,634582.65313,796.60696,551.1496,116.13789
linear,6,one hot encoding cat with new time features no encoding,0.43204,874708.86963,935.25872,684.45456,0.42964,620733.25564,787.86627,551.06143,124.42349
linear,7,timeseriesplit cv noscaling,0.14592999999999998,914073.1312200001,940.1502360000001,668.691532,0.544014,485108.72624200006,622.3254239999999,435.99108400000006,119.53197399999999
ridge,8,one hot encoding cat with new time features no encoding,0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
lasso,9,one hot encoding cat with new time features no encoding,0.42799,880935.12543,938.58144,677.04577,0.42747,623093.44195,789.36268,552.16757,121.10077
lasso,10,"hyper-parameters max_iter: 10, alpha: 1e-15",0.42393,887193.88137,941.9097,671.77845,0.42784,622691.20558,789.10785,552.61515,117.77251
lasso,10,"hyper-parameters max_iter: 50, alpha: 1e-15",0.42726,882056.56288,939.17866,674.87072,0.42871,621749.6338,788.51102,552.13313,120.50355
lasso,10,"hyper-parameters max_iter: 100, alpha: 1e-15",0.42814,880711.75071,938.46244,675.88455,0.42892,621521.32609,788.36624,552.04168,121.21977
lasso,10,"hyper-parameters max_iter: 500, alpha: 1e-15",0.4306,876914.17251,936.43696,681.2859,0.42934,621058.69903,788.07278,551.59309,123.24525
lasso,10,"hyper-parameters max_iter: 1000, alpha: 1e-15",0.43172,875197.82288,935.52008,685.35061,0.4295,620889.97113,787.96572,551.3639,124.16213
lasso,10,"hyper-parameters max_iter: 2000, alpha: 1e-15",0.43232,874267.26492,935.0226,688.81629,0.42955,620836.80933,787.93198,551.2596,124.65961
lasso,10,"hyper-parameters max_iter: 3000, alpha: 1e-15",0.43244,874081.40312,934.92321,689.7674,0.42955,620833.38457,787.92981,551.24101,124.759
lasso,10,"hyper-parameters max_iter: 4000, alpha: 1e-15",0.43247,874036.08774,934.89897,689.9999,0.42955,620832.31071,787.92913,551.23568,124.78324
lasso,10,"hyper-parameters max_iter: 10, alpha: 1e-10",0.42393,887193.88137,941.9097,671.77845,0.42784,622691.20558,789.10785,552.61515,117.77251
lasso,10,"hyper-parameters max_iter: 50, alpha: 1e-10",0.42726,882056.56288,939.17866,674.87072,0.42871,621749.6338,788.51102,552.13313,120.50355
lasso,10,"hyper-parameters max_iter: 100, alpha: 1e-10",0.42814,880711.75071,938.46244,675.88455,0.42892,621521.32609,788.36624,552.04168,121.21977
lasso,10,"hyper-parameters max_iter: 500, alpha: 1e-10",0.4306,876914.17251,936.43696,681.2859,0.42934,621058.69903,788.07278,551.59309,123.24525
lasso,10,"hyper-parameters max_iter: 1000, alpha: 1e-10",0.43172,875197.82288,935.52008,685.35061,0.4295,620889.97113,787.96572,551.3639,124.16213
lasso,10,"hyper-parameters max_iter: 2000, alpha: 1e-10",0.43232,874267.26493,935.0226,688.81629,0.42955,620836.80933,787.93198,551.2596,124.65961
lasso,10,"hyper-parameters max_iter: 3000, alpha: 1e-10",0.43244,874081.40312,934.92321,689.7674,0.42955,620833.38457,787.92981,551.24101,124.759
lasso,10,"hyper-parameters max_iter: 4000, alpha: 1e-10",0.43247,874036.08774,934.89897,689.9999,0.42955,620832.31071,787.92913,551.23568,124.78324
lasso,10,"hyper-parameters max_iter: 10, alpha: 1e-08",0.42393,887193.88138,941.9097,671.77845,0.42784,622691.20558,789.10785,552.61515,117.77251
lasso,10,"hyper-parameters max_iter: 50, alpha: 1e-08",0.42726,882056.56288,939.17866,674.87072,0.42871,621749.6338,788.51102,552.13313,120.50355
lasso,10,"hyper-parameters max_iter: 100, alpha: 1e-08",0.42814,880711.75069,938.46244,675.88455,0.42892,621521.32609,788.36624,552.04168,121.21977
lasso,10,"hyper-parameters max_iter: 500, alpha: 1e-08",0.4306,876914.17253,936.43696,681.2859,0.42934,621058.69904,788.07278,551.59309,123.24525
lasso,10,"hyper-parameters max_iter: 1000, alpha: 1e-08",0.43172,875197.823,935.52008,685.35061,0.4295,620889.97113,787.96572,551.3639,124.16213
lasso,10,"hyper-parameters max_iter: 2000, alpha: 1e-08",0.43232,874267.26507,935.0226,688.81629,0.42955,620836.80933,787.93198,551.2596,124.65961
lasso,10,"hyper-parameters max_iter: 3000, alpha: 1e-08",0.43244,874081.40326,934.92321,689.7674,0.42955,620833.38457,787.92981,551.24101,124.759
lasso,10,"hyper-parameters max_iter: 4000, alpha: 1e-08",0.43247,874036.08788,934.89897,689.9999,0.42955,620832.31071,787.92913,551.23568,124.78324
lasso,10,"hyper-parameters max_iter: 10, alpha: 0.0001",0.42393,887193.97367,941.90975,671.77834,0.42784,622691.2085,789.10786,552.6151,117.77246
lasso,10,"hyper-parameters max_iter: 50, alpha: 0.0001",0.42726,882056.53157,939.17865,674.87065,0.42871,621749.65948,788.51104,552.13311,120.50356
lasso,10,"hyper-parameters max_iter: 100, alpha: 0.0001",0.42814,880711.52385,938.46232,675.88475,0.42892,621521.3553,788.36626,552.04166,121.21989
lasso,10,"hyper-parameters max_iter: 500, alpha: 0.0001",0.4306,876914.35428,936.43705,681.28541,0.42934,621058.76605,788.07282,551.59307,123.24516
lasso,10,"hyper-parameters max_iter: 1000, alpha: 0.0001",0.43172,875198.9912,935.52071,685.34729,0.4295,620890.03623,787.96576,551.36394,124.1615
lasso,10,"hyper-parameters max_iter: 2000, alpha: 0.0001",0.43232,874268.76311,935.0234,688.80915,0.42955,620836.83454,787.932,551.25967,124.65881
lasso,10,"hyper-parameters max_iter: 3000, alpha: 0.0001",0.43244,874082.86366,934.92399,689.75926,0.42955,620833.38368,787.92981,551.24107,124.75822
lasso,10,"hyper-parameters max_iter: 4000, alpha: 0.0001",0.43247,874037.52997,934.89974,689.99145,0.42955,620832.30061,787.92912,551.23575,124.78247
lasso,10,"hyper-parameters max_iter: 10, alpha: 0.001",0.42393,887194.80549,941.91019,671.77736,0.42784,622691.23612,789.10787,552.61462,117.77202
lasso,10,"hyper-parameters max_iter: 50, alpha: 0.001",0.42726,882056.25117,939.1785,674.86997,0.42871,621749.89218,788.51119,552.13296,120.50371
lasso,10,"hyper-parameters max_iter: 100, alpha: 0.001",0.42814,880709.48416,938.46123,675.88653,0.42892,621521.62002,788.36642,552.04148,121.22098
lasso,10,"hyper-parameters max_iter: 500, alpha: 0.001",0.4306,876917.84006,936.43891,681.27673,0.42934,621059.3789,788.07321,551.59299,123.2433
lasso,10,"hyper-parameters max_iter: 1000, alpha: 0.001",0.43171,875209.56842,935.52636,685.31746,0.4295,620890.62309,787.96613,551.36434,124.15585
lasso,10,"hyper-parameters max_iter: 2000, alpha: 0.001",0.43231,874282.55382,935.03078,688.74509,0.42955,620837.07187,787.93215,551.26038,124.65143
lasso,10,"hyper-parameters max_iter: 3000, alpha: 0.001",0.43243,874096.16539,934.9311,689.68569,0.42955,620833.38691,787.92981,551.24164,124.75111
lasso,10,"hyper-parameters max_iter: 4000, alpha: 0.001",0.43246,874050.63313,934.90675,689.91529,0.42955,620832.22225,787.92907,551.23635,124.77546
lasso,10,"hyper-parameters max_iter: 10, alpha: 0.01",0.42392,887203.23541,941.91466,671.76758,0.42784,622691.64999,789.10814,552.61036,117.76755
lasso,10,"hyper-parameters max_iter: 50, alpha: 0.01",0.42726,882057.02589,939.17891,674.85937,0.42871,621752.34654,788.51274,552.13156,120.5033
lasso,10,"hyper-parameters max_iter: 100, alpha: 0.01",0.42814,880701.90028,938.45719,675.88628,0.42892,621524.40451,788.36819,552.03952,121.22502
lasso,10,"hyper-parameters max_iter: 500, alpha: 0.01",0.43058,876952.63781,936.45749,681.1912,0.42934,621065.84819,788.07731,551.59382,123.22472
lasso,10,"hyper-parameters max_iter: 1000, alpha: 0.01",0.43165,875307.89312,935.57891,685.05057,0.42949,620896.86604,787.97009,551.36835,124.1033
lasso,10,"hyper-parameters max_iter: 2000, alpha: 0.01",0.43222,874427.38682,935.10822,688.10593,0.42954,620840.29856,787.9342,551.26776,124.57399
lasso,10,"hyper-parameters max_iter: 3000, alpha: 0.01",0.43234,874238.50528,935.00722,688.95082,0.42955,620834.50184,787.93052,551.24817,124.67499
lasso,10,"hyper-parameters max_iter: 4000, alpha: 0.01",0.43237,874192.42261,934.98258,689.15376,0.42955,620832.58548,787.9293,551.24267,124.69963
lasso,10,"hyper-parameters max_iter: 10, alpha: 1",0.4228,888930.29969,942.831,671.39705,0.42675,623877.1443,789.85894,552.56413,116.85121
lasso,10,"hyper-parameters max_iter: 50, alpha: 1",0.42684,882703.98606,939.52328,675.40806,0.42734,623236.4998,789.45329,552.22957,120.15893
lasso,10,"hyper-parameters max_iter: 100, alpha: 1",0.42737,881895.61985,939.09298,675.88766,0.42742,623153.26892,789.40058,552.18819,120.58923
lasso,10,"hyper-parameters max_iter: 500, alpha: 1",0.42783,881180.86623,938.71234,676.7083,0.42747,623101.88716,789.36803,552.18128,120.96987
lasso,10,"hyper-parameters max_iter: 1000, alpha: 1",0.42799,880935.12543,938.58144,677.04577,0.42747,623093.44195,789.36268,552.16757,121.10077
lasso,10,"hyper-parameters max_iter: 2000, alpha: 1",0.42801,880906.40708,938.56614,677.08298,0.42748,623091.75987,789.36162,552.16593,121.11607
lasso,10,"hyper-parameters max_iter: 3000, alpha: 1",0.42801,880906.40708,938.56614,677.08298,0.42748,623091.75987,789.36162,552.16593,121.11607
lasso,10,"hyper-parameters max_iter: 4000, alpha: 1",0.42801,880906.40708,938.56614,677.08298,0.42748,623091.75987,789.36162,552.16593,121.11607
lasso,10,"hyper-parameters max_iter: 10, alpha: 5",0.42008,893113.45051,945.0468,672.35771,0.42441,626424.85043,791.47006,552.10026,114.63541
lasso,10,"hyper-parameters max_iter: 50, alpha: 5",0.4237,887538.43962,942.09259,676.33259,0.42485,625954.01143,791.17255,552.1005,117.58962
lasso,10,"hyper-parameters max_iter: 100, alpha: 5",0.42403,887035.34568,941.82554,676.78914,0.42495,625842.42965,791.10203,552.07696,117.85667
lasso,10,"hyper-parameters max_iter: 500, alpha: 5",0.4242,886771.9832,941.68571,677.06604,0.42499,625794.06927,791.07147,552.07529,117.9965
lasso,10,"hyper-parameters max_iter: 1000, alpha: 5",0.4242,886771.9832,941.68571,677.06604,0.42499,625794.06927,791.07147,552.07529,117.9965
