algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
linear,0,baseline,0.27086,1122926.38592,1059.68221,820.14977,0.26809,796550.98649,892.49705,657.71943,0
rf,20,baseline,0.22385,1195326.25643,1093.30977,808.59725,0.87997,130636.3769,361.43655,239.41457,-33.62756
rf,21,"hyper-params n_estimators: 10 max_depth: 1, min_samples_leaf: 1 ",0.27602,1114979.26699,1055.92579,690.46861,0.30643,754823.99705,868.80608,607.45889,3.75642
rf,21,"hyper-params n_estimators: 20 max_depth: 1, min_samples_leaf: 1 ",0.27697,1113522.07154,1055.23555,690.27692,0.30643,754832.41801,868.81092,607.88228,4.44666
rf,21,"hyper-params n_estimators: 30 max_depth: 1, min_samples_leaf: 1 ",0.27616,1114771.28087,1055.8273,690.46619,0.30643,754824.62319,868.80644,607.5627,3.85491
rf,21,"hyper-params n_estimators: 40 max_depth: 1, min_samples_leaf: 1 ",0.27536,1116003.64495,1056.41074,690.63009,0.30644,754822.17304,868.80503,607.20944,3.27147
rf,21,"hyper-params n_estimators: 50 max_depth: 1, min_samples_leaf: 1 ",0.2754,1115935.17895,1056.37833,690.63465,0.30644,754822.10647,868.80499,607.25298,3.30388
rf,21,"hyper-params n_estimators: 60 max_depth: 1, min_samples_leaf: 1 ",0.2756,1115628.57383,1056.2332,690.58359,0.30644,754822.35988,868.80513,607.32303,3.44901
rf,21,"hyper-params n_estimators: 70 max_depth: 1, min_samples_leaf: 1 ",0.2758,1115321.98225,1056.08806,690.54049,0.30644,754822.88984,868.80544,607.40719,3.59415
rf,21,"hyper-params n_estimators: 80 max_depth: 1, min_samples_leaf: 1 ",0.2756,1115624.77579,1056.2314,690.60682,0.30644,754822.28979,868.80509,607.36581,3.45081
rf,21,"hyper-params n_estimators: 90 max_depth: 1, min_samples_leaf: 1 ",0.27548,1115812.01813,1056.32004,690.63553,0.30644,754822.10958,868.80499,607.31868,3.36217
rf,21,"hyper-params n_estimators: 100 max_depth: 1, min_samples_leaf: 1 ",0.27538,1115966.51637,1056.39316,690.66565,0.30644,754822.04403,868.80495,607.29121,3.28905
rf,21,"hyper-params n_estimators: 110 max_depth: 1, min_samples_leaf: 1 ",0.27533,1116039.35203,1056.42764,690.67479,0.30644,754822.04384,868.80495,607.26944,3.25457
rf,21,"hyper-params n_estimators: 120 max_depth: 1, min_samples_leaf: 1 ",0.27526,1116158.64842,1056.4841,690.69232,0.30644,754822.08054,868.80497,607.23833,3.19811
rf,21,"hyper-params n_estimators: 130 max_depth: 1, min_samples_leaf: 1 ",0.27521,1116236.45551,1056.52092,690.71453,0.30644,754822.13262,868.805,607.23701,3.16129
rf,21,"hyper-params n_estimators: 140 max_depth: 1, min_samples_leaf: 1 ",0.27526,1116159.2528,1056.48438,690.7006,0.30644,754822.08152,868.80497,607.2526,3.19783
rf,21,"hyper-params n_estimators: 150 max_depth: 1, min_samples_leaf: 1 ",0.27541,1115923.78267,1056.37294,690.66017,0.30644,754822.05253,868.80496,607.30378,3.30927
rf,21,"hyper-params n_estimators: 160 max_depth: 1, min_samples_leaf: 1 ",0.27535,1116018.97706,1056.41799,690.67044,0.30644,754822.04307,868.80495,607.27238,3.26422
rf,21,"hyper-params n_estimators: 170 max_depth: 1, min_samples_leaf: 1 ",0.27546,1115850.90533,1056.33844,690.64591,0.30644,754822.08259,868.80497,607.31666,3.34377
rf,21,"hyper-params n_estimators: 180 max_depth: 1, min_samples_leaf: 1 ",0.27558,1115661.46443,1056.24877,690.61383,0.30644,754822.24348,868.80507,607.35901,3.43344
