algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
linear,0,baseline,0.27086,1122926.38592,1059.68221,820.14977,0.26809,796550.98649,892.49705,657.71943,0
xgb,22,baseline,0.26136,1137565.87154,1066.56733,786.62401,0.5667,471568.7783,686.70866,473.64493,-6.88512
xgb,23,remove outliers on target cnt,0.22975,1186245.12652,1089.14881,743.74697,0.61328,274889.2509,524.29882,375.41135,-29.4666
xgb,24,"hyper-params booster='gbtree', learning_rate: 1.0, n_estimators: 500",0.82016,276963.43268,526.27315,365.53224,0.99996,44.03877,6.63617,4.61435,533.40906
xgb,24,"hyper-params booster='gbtree', learning_rate: 0.3, n_estimators: 800",0.9245,116268.63731,340.98187,230.95606,0.99987,144.98069,12.04079,8.52702,718.70034
xgb,24,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000",0.93566,99095.83734,314.79491,210.68683,0.9989,1192.52744,34.53299,24.11944,744.8873
xgb,24,"hyper-params booster='gbtree', learning_rate: 0.05, n_estimators: 1500",0.93392,101764.66627,319.00575,211.75757,0.99808,2091.53345,45.73329,31.501,740.67646
xgb,24,"hyper-params booster='gbtree', learning_rate: 0.01, n_estimators: 3000",0.93497,100146.8629,316.45989,209.95234,0.99396,6576.38617,81.09492,53.69659,743.22232
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 4, colsample_bytree: 0.4",0.93326,102780.87374,320.59456,219.2445,0.97623,25869.58452,160.84025,104.00285,739.08765
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 4, colsample_bytree: 0.6",0.93457,100767.10033,317.43834,217.35834,0.97725,24763.52866,157.36432,101.46538,742.24387
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 4, colsample_bytree: 0.8",0.9362,98253.28305,313.4538,212.70192,0.97692,25119.68091,158.4919,103.78046,746.22841
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 5, colsample_bytree: 0.4",0.93381,101940.88444,319.28183,217.88522,0.97542,26754.22806,163.5672,104.94717,740.40038
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 5, colsample_bytree: 0.6",0.93269,103662.58641,321.96675,223.35714,0.97747,24515.36933,156.57385,101.63962,737.71546
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 5, colsample_bytree: 0.8",0.93574,98965.04608,314.5871,211.01989,0.97674,25309.42895,159.08937,103.53522,745.09511
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 6, colsample_bytree: 0.4",0.93219,104426.19202,323.15042,220.13692,0.97478,27450.49662,165.68191,106.81168,736.53179
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 6, colsample_bytree: 0.6",0.93147,105540.12458,324.8694,224.36255,0.97695,25085.60762,158.38437,102.20366,734.81281
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 6, colsample_bytree: 0.8",0.93457,100761.53942,317.42958,218.19341,0.976,26115.93054,161.60424,105.55179,742.25263
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 8, colsample_bytree: 0.4",0.93427,101227.19989,318.16222,219.68469,0.975,27203.09956,164.93362,106.3927,741.51999
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 8, colsample_bytree: 0.6",0.93007,107694.48381,328.16838,227.12831,0.97674,25313.3783,159.10179,102.25306,731.51383
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 3, min_child_weight: 8, colsample_bytree: 0.8",0.93586,98783.31866,314.29814,215.21778,0.97605,26066.02833,161.44977,105.61965,745.38407
